"System Name","Name","License","Version","Summary","Price",
"crnd_web_field_domain","CRnD Web Field Domain","LGPL-3","17.0.0.5.1","Web Field Domain by CRnD allows create computed field domains.","",
"crnd_web_on_create_action","CRND web on create action","LGPL-3","17.0.0.5.1","Make it possible to use wizards to create records","",
"test_crnd_web_field_domain","Test CR&D Field Domain","LGPL-3","17.0.0.0.1","","",
"test_crnd_web_models","Test CRND Web Models","LGPL-3","17.0.0.15.1","Module for testing web addons.","",
